time,start_time,end_time,flare_id,xrsb_irrad,flare_class,xrsb_irrad_source,background_irrad,integrated_irrad_peak,integrated_irrad_end,flare_loc_swpc_hgs_lon,flare_loc_swpc_hgs_lat,flare_loc_swpc_source,flare_loc_xrs_hgs_lon,flare_loc_xrs_hgs_lat,flare_loc_xrs_hpc_x,flare_loc_xrs_hpc_y,flare_loc_xrs_source,sequential_flare_num,peak_saturated,active_region
2021-01-19 20:41:00,2021-01-19 20:25:00,2021-01-19 20:44:00,202101192025,4.173e-07,B4.1,GOES-16,6.275e-08,2.177e-04,2.280e-04,,,,,,,,,1,0,
2021-01-19 22:52:00,2021-01-19 22:43:00,2021-01-19 22:57:00,202101192243,1.741e-07,B1.7,GOES-16,6.401e-08,8.916e-05,1.108e-04,,,,,,,,,1,0,
2021-01-20 01:13:00,2021-01-20 01:03:00,2021-01-20 01:17:00,202101200103,7.025e-07,B7.0,GOES-16,7.942e-08,2.394e-04,2.774e-04,,,,,,,,,1,0,
2021-01-20 06:13:00,2021-01-20 06:08:00,2021-01-20 06:20:00,202101200608,1.805e-07,B1.8,GOES-16,4.607e-08,6.114e-05,9.580e-05,,,,,,,,,1,0,
2021-01-20 07:04:00,2021-01-20 06:59:00,2021-01-20 07:07:00,202101200659,1.776e-07,B1.7,GOES-16,1.729e-07,9.452e-05,1.048e-04,,,,,,,,,2,0,
2021-01-20 09:52:00,2021-01-20 09:49:00,2021-01-20 09:57:00,202101200949,1.606e-07,B1.6,GOES-16,4.597e-08,5.021e-05,6.856e-05,,,,,,,,,1,0,
2021-01-20 10:11:00,2021-01-20 10:01:00,2021-01-20 10:22:00,202101201001,7.020e-07,B7.0,GOES-16,7.831e-08,3.099e-04,5.368e-04,304.0,-17.0,LEA,,,,,,1,0,2798
2021-01-20 12:48:00,2021-01-20 12:27:00,2021-01-20 13:07:00,202101201227,8.706e-07,B8.7,GOES-16,4.471e-08,5.834e-04,1.541e-03,,,,,,,,,1,0,
2021-01-20 17:27:00,2021-01-20 17:16:00,,202101201716,1.733e-07,B1.7,GOES-16,3.315e-08,9.014e-05,,,,,,,,,,1,0,
2021-01-20 17:33:00,2021-01-20 17:29:00,2021-01-20 17:38:00,202101201729,3.179e-07,B3.1,GOES-16,1.410e-07,1.152e-04,1.547e-04,,,,,,,,,2,0,
2021-01-20 18:29:00,2021-01-20 18:25:00,2021-01-20 18:33:00,202101201825,2.046e-07,B2.0,GOES-16,5.074e-08,6.036e-05,7.356e-05,,,,,,,,,1,0,
2021-01-20 19:36:00,2021-01-20 19:27:00,2021-01-20 19:43:00,202101201927,1.158e-07,B1.1,GOES-16,4.137e-08,6.186e-05,8.580e-05,,,,,,,,,1,0,
2021-01-21 00:06:00,2021-01-20 23:54:00,2021-01-21 00:15:00,202101202354,2.617e-07,B2.6,GOES-16,6.443e-08,1.435e-04,2.262e-04,,,,,,,,,1,0,
2021-01-21 02:28:00,2021-01-21 02:02:00,2021-01-21 02:45:00,202101210202,3.928e-07,B3.9,GOES-16,6.194e-08,3.552e-04,6.007e-04,,,,,,,,,1,0,
2021-01-21 03:36:00,2021-01-21 03:27:00,2021-01-21 03:53:00,202101210327,1.474e-07,B1.4,GOES-16,1.069e-07,1.021e-04,2.211e-04,,,,,,,,,1,0,
2021-01-21 04:40:00,2021-01-21 04:34:00,2021-01-21 04:53:00,202101210434,1.521e-07,B1.5,GOES-16,1.052e-07,7.754e-05,1.671e-04,,,,,,,,,1,0,
2021-01-21 05:28:00,2021-01-21 05:21:00,2021-01-21 05:34:00,202101210521,2.051e-07,B2.0,GOES-16,1.089e-07,1.087e-04,1.454e-04,,,,,,,,,1,0,
2021-01-21 09:24:00,2021-01-21 09:17:00,2021-01-21 09:28:00,202101210917,1.178e-07,B1.1,GOES-16,5.961e-08,5.667e-05,6.666e-05,,,,,,,,,1,0,
2021-01-21 09:59:00,2021-01-21 09:47:00,2021-01-21 10:04:00,202101210947,5.467e-07,B5.4,GOES-16,7.079e-08,2.155e-04,2.707e-04,318.0,-18.0,LEA,,,,,,1,0,2798
2021-01-21 10:30:00,2021-01-21 10:27:00,2021-01-21 10:34:00,202101211027,3.365e-07,B3.3,GOES-16,2.108e-07,1.187e-04,1.493e-04,,,,,,,,,1,0,
2021-01-21 12:47:00,2021-01-21 12:34:00,,202101211234,1.332e-07,B1.3,GOES-16,7.119e-08,1.054e-04,,,,,,,,,,1,0,
2021-01-21 12:53:00,2021-01-21 12:50:00,2021-01-21 12:57:00,202101211250,3.200e-07,B3.1,GOES-16,1.203e-07,9.900e-05,1.236e-04,319.0,-18.0,SVI,,,,,,2,0,2798
2021-01-21 13:07:00,2021-01-21 13:00:00,2021-01-21 13:15:00,202101211300,2.103e-07,B2.1,GOES-17,1.735e-07,1.282e-04,1.963e-04,,,,,,,,,2,0,
2021-01-21 15:05:00,2021-01-21 14:59:00,2021-01-21 15:11:00,202101211459,1.274e-07,B1.2,GOES-16,7.848e-08,6.511e-05,9.029e-05,,,,,,,,,1,0,
2021-01-21 16:02:00,2021-01-21 15:53:00,2021-01-21 16:05:00,202101211553,4.541e-07,B4.5,GOES-16,8.865e-08,1.682e-04,1.793e-04,,,,,,,,,1,0,
2021-01-21 16:54:00,2021-01-21 16:45:00,2021-01-21 17:00:00,202101211645,1.141e-07,B1.1,GOES-16,6.808e-08,7.224e-05,9.379e-05,,,,,,,,,1,0,
2021-01-21 18:16:00,2021-01-21 18:07:00,2021-01-21 18:19:00,202101211807,2.591e-07,B2.5,GOES-16,4.074e-08,9.963e-05,1.067e-04,,,,,,,,,1,0,
2021-01-21 18:36:00,2021-01-21 18:30:00,2021-01-21 18:39:00,202101211830,1.115e-07,B1.1,GOES-16,7.158e-08,5.599e-05,6.097e-05,,,,,,,,,1,0,
2021-01-21 19:24:00,2021-01-21 19:18:00,2021-01-21 19:29:00,202101211918,1.859e-07,B1.8,GOES-16,9.239e-08,8.511e-05,1.095e-04,,,,,,,,,1,0,
2021-01-21 21:45:00,2021-01-21 21:37:00,,202101212137,1.024e-07,B1.0,GOES-17,7.321e-08,6.503e-05,,,,,,,,,,1,0,
2021-01-21 21:54:00,2021-01-21 21:49:00,2021-01-21 21:58:00,202101212149,1.033e-07,B1.0,GOES-17,9.525e-08,5.360e-05,6.529e-05,,,,,,,,,2,0,
2021-01-21 22:51:00,2021-01-21 22:42:00,2021-01-21 23:08:00,202101212242,1.390e-07,B1.3,GOES-16,7.214e-08,8.403e-05,1.881e-04,,,,,,,,,1,0,
2021-01-22 09:42:00,2021-01-22 09:37:00,2021-01-22 09:52:00,202101220937,1.550e-07,B1.5,GOES-16,4.233e-08,5.716e-05,1.061e-04,,,,,,,,,1,0,
2021-01-23 23:53:00,2021-01-23 23:34:00,2021-01-24 00:17:00,202101232334,3.021e-07,B3.0,GOES-16,7.219e-08,2.710e-04,5.953e-04,,,,,,,,,1,0,
2021-01-25 02:40:00,2021-01-25 02:25:00,2021-01-25 02:56:00,202101250225,1.520e-07,B1.5,GOES-16,8.173e-08,1.411e-04,2.520e-04,,,,,,,,,1,0,
2021-01-25 06:41:00,2021-01-25 06:31:00,2021-01-25 06:47:00,202101250631,5.090e-07,B5.0,GOES-16,6.075e-08,2.198e-04,2.848e-04,,,,,,,,,1,0,
2021-01-25 08:01:00,2021-01-25 07:52:00,,202101250752,1.102e-07,B1.1,GOES-17,7.462e-08,7.309e-05,,,,,,,,,,1,0,
2021-01-25 08:19:00,2021-01-25 08:08:00,2021-01-25 08:25:00,202101250808,2.256e-07,B2.2,GOES-16,8.788e-08,1.400e-04,1.786e-04,,,,,,,,,1,0,
2021-01-25 11:18:00,2021-01-25 11:15:00,,202101251115,1.315e-07,B1.3,GOES-16,7.967e-08,4.756e-05,,,,,,,,,,1,0,
2021-01-25 11:28:00,2021-01-25 11:20:00,2021-01-25 11:31:00,202101251120,1.671e-07,B1.6,GOES-16,1.272e-07,1.077e-04,1.162e-04,,,,,,,,,2,0,
2021-01-25 11:36:00,2021-01-25 11:31:00,,202101251131,1.456e-07,B1.4,GOES-17,1.258e-07,7.352e-05,,,,,,,,,,2,0,
2021-01-26 23:08:00,2021-01-26 23:00:00,2021-01-26 23:15:00,202101262300,1.279e-07,B1.2,GOES-16,4.820e-08,6.957e-05,9.639e-05,,,,,,,,,1,0,
2021-01-27 16:26:00,2021-01-27 16:16:00,2021-01-27 16:34:00,202101271616,1.286e-07,B1.2,GOES-17,6.472e-08,8.412e-05,1.215e-04,,,,,,,,,1,0,
2021-01-28 23:08:00,2021-01-28 22:58:00,2021-01-28 23:15:00,202101282258,3.320e-07,B3.3,GOES-16,4.519e-08,1.339e-04,1.936e-04,30.0,18.0,LEA,,,,,,1,0,2800
2021-01-29 09:55:00,2021-01-29 09:41:00,2021-01-29 10:07:00,202101290941,2.441e-07,B2.4,GOES-16,3.657e-08,1.644e-04,2.662e-04,,,,,,,,,1,0,
2021-01-29 20:16:00,2021-01-29 20:05:00,2021-01-29 20:26:00,202101292005,3.810e-07,B3.8,GOES-16,1.836e-08,1.676e-04,2.815e-04,,,,,,,,,1,0,
2021-02-10 12:06:00,2021-02-10 11:42:00,2021-02-10 12:16:00,202102101142,5.761e-07,B5.7,GOES-16,4.540e-08,4.475e-04,6.236e-04,,,,,,,,,1,0,
2021-02-18 11:53:00,2021-02-18 11:46:00,2021-02-18 11:57:00,202102181146,1.247e-07,B1.2,GOES-16,3.754e-08,5.892e-05,6.723e-05,,,,,,,,,1,0,
2021-02-18 13:29:00,2021-02-18 13:24:00,2021-02-18 13:36:00,202102181324,1.083e-07,B1.0,GOES-17,3.988e-08,4.011e-05,6.300e-05,,,,,,,,,1,0,
2021-02-19 09:01:00,2021-02-19 08:53:00,2021-02-19 09:07:00,202102190853,1.783e-07,B1.7,GOES-16,3.927e-08,6.806e-05,9.506e-05,,,,,,,,,1,0,
2021-02-20 11:53:00,2021-02-20 11:47:00,2021-02-20 11:57:00,202102201147,1.158e-07,B1.1,GOES-16,7.109e-08,5.378e-05,6.266e-05,,,,,,,,,1,0,
2021-02-20 19:23:00,2021-02-20 19:19:00,2021-02-20 19:26:00,202102201919,1.080e-07,B1.0,GOES-17,5.907e-08,3.914e-05,4.327e-05,,,,,,,,,1,0,
2021-02-21 08:59:00,2021-02-21 08:53:00,2021-02-21 09:03:00,202102210853,2.389e-07,B2.3,GOES-17,2.488e-08,7.885e-05,8.949e-05,,,,,,,,,1,0,
2021-02-22 17:07:00,2021-02-22 17:02:00,2021-02-22 17:12:00,202102221702,4.537e-07,B4.5,GOES-16,3.345e-08,1.326e-04,1.747e-04,1.0,19.0,HOL,,,,,,1,0,2804
2021-02-22 20:29:00,2021-02-22 20:24:00,2021-02-22 20:34:00,202102222024,6.516e-07,B6.5,GOES-16,3.362e-08,1.766e-04,2.308e-04,,,,,,,,,1,0,
2021-02-22 21:29:00,2021-02-22 21:19:00,2021-02-22 21:35:00,202102222119,5.418e-07,B5.4,GOES-16,5.867e-08,1.824e-04,2.597e-04,3.0,19.0,HOL,,,,,,1,0,2804
2021-02-22 22:39:00,2021-02-22 22:34:00,2021-02-22 22:49:00,202102222234,1.443e-07,B1.4,GOES-16,7.238e-08,6.030e-05,1.163e-04,,,,,,,,,1,0,
2021-02-23 00:16:00,2021-02-23 00:11:00,2021-02-23 00:21:00,202102230011,3.242e-07,B3.2,GOES-16,6.122e-08,1.063e-04,1.412e-04,4.0,19.0,HOL,,,,,,1,0,2804
2021-02-23 05:34:00,2021-02-23 05:17:00,2021-02-23 05:50:00,202102230517,1.726e-07,B1.7,GOES-16,6.160e-08,1.613e-04,2.792e-04,,,,,,,,,1,0,
2021-02-23 07:06:00,2021-02-23 07:01:00,2021-02-23 07:13:00,202102230701,1.636e-07,B1.6,GOES-16,3.170e-08,5.941e-05,9.005e-05,,,,,,,,,1,0,
2021-02-23 09:25:00,2021-02-23 09:20:00,2021-02-23 09:41:00,202102230920,1.052e-07,B1.0,GOES-17,6.758e-08,4.991e-05,1.298e-04,,,,,,,,,1,0,
2021-02-23 10:24:00,2021-02-23 10:16:00,2021-02-23 10:29:00,202102231016,1.166e-07,B1.1,GOES-16,7.867e-08,7.194e-05,8.939e-05,,,,,,,,,1,0,
2021-02-23 14:27:00,2021-02-23 14:20:00,2021-02-23 14:31:00,202102231420,1.389e-07,B1.3,GOES-17,5.870e-08,6.102e-05,7.179e-05,,,,,,,,,1,0,
2021-02-23 14:52:00,2021-02-23 14:49:00,2021-02-23 14:56:00,202102231449,1.859e-07,B1.8,GOES-16,5.339e-08,5.224e-05,6.439e-05,,,,,,,,,1,0,
2021-02-23 19:59:00,2021-02-23 19:51:00,2021-02-23 20:01:00,202102231951,1.793e-07,B1.7,GOES-16,4.960e-08,6.441e-05,6.949e-05,,,,,,,,,1,0,
2021-02-24 10:31:00,2021-02-24 10:26:00,,202102241026,1.075e-07,B1.0,GOES-17,7.789e-08,5.027e-05,,,,,,,,,,1,0,
2021-02-24 10:49:00,2021-02-24 10:35:00,2021-02-24 11:00:00,202102241035,1.443e-07,B1.4,GOES-17,9.355e-08,1.322e-04,1.985e-04,,,,,,,,,2,0,
2021-02-24 11:23:00,2021-02-24 11:03:00,2021-02-24 11:31:00,202102241103,2.547e-07,B2.5,GOES-16,1.062e-07,2.485e-04,3.163e-04,,,,,,,,,1,0,
2021-02-24 14:47:00,2021-02-24 14:41:00,2021-02-24 14:58:00,202102241441,1.627e-07,B1.6,GOES-16,1.191e-07,8.739e-05,1.753e-04,27.0,18.0,SVI,,,,,,1,0,2804
2021-02-24 18:01:00,2021-02-24 17:55:00,2021-02-24 18:09:00,202102241755,1.970e-07,B1.9,GOES-17,1.445e-07,1.061e-04,1.683e-04,,,,,,,,,1,0,
2021-02-24 19:39:00,2021-02-24 19:31:00,2021-02-24 19:46:00,202102241931,1.903e-07,B1.9,GOES-16,1.050e-07,9.832e-05,1.422e-04,,,,,,,,,1,0,
2021-02-24 21:06:00,2021-02-24 20:59:00,2021-02-24 21:09:00,202102242059,1.124e-07,B1.1,GOES-16,7.862e-08,6.072e-05,6.591e-05,,,,,,,,,1,0,
2021-02-25 00:07:00,2021-02-25 00:00:00,2021-02-25 00:14:00,202102250000,2.448e-07,B2.4,GOES-16,9.674e-08,1.015e-04,1.577e-04,,,,,,,,,1,0,
2021-02-25 00:52:00,2021-02-25 00:42:00,2021-02-25 00:54:00,202102250042,3.380e-07,B3.3,GOES-16,1.309e-07,1.654e-04,1.759e-04,,,,,,,,,1,0,
2021-02-25 03:22:00,2021-02-25 03:08:00,2021-02-25 03:34:00,202102250308,2.748e-07,B2.7,GOES-16,1.269e-07,2.229e-04,3.567e-04,,,,,,,,,1,0,
2021-02-25 04:43:00,2021-02-25 04:30:00,2021-02-25 04:54:00,202102250430,1.811e-07,B1.8,GOES-16,1.124e-07,1.548e-04,2.434e-04,,,,,,,,,1,0,
2021-02-25 05:32:00,2021-02-25 05:26:00,2021-02-25 05:34:00,202102250526,2.242e-07,B2.2,GOES-16,1.059e-07,8.730e-05,9.469e-05,,,,,,,,,1,0,
2021-02-25 05:51:00,2021-02-25 05:44:00,2021-02-25 05:56:00,202102250544,1.363e-07,B1.3,GOES-17,9.863e-08,7.736e-05,9.821e-05,,,,,,,,,1,0,
2021-02-25 06:37:00,2021-02-25 06:29:00,2021-02-25 06:42:00,202102250629,4.587e-07,B4.5,GOES-16,1.009e-07,1.726e-04,2.146e-04,35.0,18.0,LEA,,,,,,1,0,2804
2021-02-25 09:39:00,2021-02-25 09:31:00,2021-02-25 09:45:00,202102250931,1.298e-07,B1.2,GOES-16,8.447e-08,7.532e-05,1.013e-04,,,,,,,,,1,0,
2021-02-25 09:51:00,2021-02-25 09:46:00,2021-02-25 09:57:00,202102250946,1.541e-07,B1.5,GOES-16,1.029e-07,7.000e-05,1.006e-04,,,,,,,,,1,0,
2021-02-25 13:47:00,2021-02-25 13:43:00,2021-02-25 13:52:00,202102251343,1.166e-07,B1.1,GOES-16,7.209e-08,4.501e-05,6.115e-05,,,,,,,,,1,0,
2021-02-25 14:06:00,2021-02-25 14:00:00,,202102251400,1.037e-07,B1.0,GOES-17,7.523e-08,5.287e-05,,,,,,,,,,1,0,
2021-02-25 14:16:00,2021-02-25 14:02:00,2021-02-25 14:20:00,202102251402,3.738e-07,B3.7,GOES-16,7.622e-08,1.720e-04,1.970e-04,,,,,,,,,1,0,
2021-02-25 15:53:00,2021-02-25 15:47:00,2021-02-25 15:58:00,202102251547,1.036e-07,B1.0,GOES-16,6.985e-08,5.141e-05,6.663e-05,,,,,,,,,1,0,
2021-02-26 01:35:00,2021-02-26 01:24:00,,202102260124,1.205e-07,B1.2,GOES-17,7.182e-08,8.768e-05,,,,,,,,,,1,0,
2021-02-26 01:42:00,2021-02-26 01:37:00,2021-02-26 01:46:00,202102260137,1.276e-07,B1.2,GOES-17,1.102e-07,6.575e-05,7.942e-05,,,,,,,,,2,0,
2021-02-26 04:47:00,2021-02-26 04:40:00,,202102260440,1.198e-07,B1.1,GOES-16,8.086e-08,6.499e-05,,,,,,,,,,1,0,
2021-02-26 06:21:00,2021-02-26 06:17:00,2021-02-26 06:30:00,202102260617,1.336e-07,B1.3,GOES-16,9.217e-08,5.783e-05,1.074e-04,,,,,,,,,1,0,
2021-02-26 07:25:00,2021-02-26 07:01:00,2021-02-26 07:47:00,202102260701,9.488e-07,B9.4,GOES-16,8.016e-08,6.805e-04,1.540e-03,46.0,-21.0,SVI,,,,,,1,0,2805
2021-02-26 19:38:00,2021-02-26 19:33:00,2021-02-26 19:40:00,202102261933,1.775e-07,B1.7,GOES-16,5.129e-08,5.523e-05,6.035e-05,52.0,19.0,HOL,,,,,,1,0,2804
2021-02-27 00:46:00,2021-02-27 00:40:00,,202102270040,1.138e-07,B1.1,GOES-17,8.159e-08,5.920e-05,,,,,,,,,,1,0,
2021-02-27 00:54:00,2021-02-27 00:49:00,2021-02-27 00:57:00,202102270049,2.634e-07,B2.6,GOES-16,8.562e-08,9.405e-05,1.008e-04,,,,,,,,,1,0,
2021-02-27 09:01:00,2021-02-27 08:53:00,2021-02-27 09:07:00,202102270853,1.109e-07,B1.1,GOES-16,7.852e-08,6.851e-05,9.154e-05,,,,,,,,,1,0,
2021-02-27 09:49:00,2021-02-27 09:36:00,2021-02-27 09:54:00,202102270936,2.889e-07,B2.8,GOES-16,9.438e-08,1.862e-04,2.180e-04,,,,,,,,,1,0,
2021-02-27 10:56:00,2021-02-27 10:51:00,2021-02-27 10:58:00,202102271051,1.334e-07,B1.3,GOES-16,5.876e-08,4.602e-05,5.010e-05,,,,,,,,,1,0,
2021-02-27 12:51:00,2021-02-27 12:44:00,2021-02-27 12:55:00,202102271244,1.402e-07,B1.4,GOES-16,5.705e-08,5.865e-05,6.940e-05,,,,,,,,,1,0,
2021-02-27 15:21:00,2021-02-27 15:13:00,2021-02-27 15:27:00,202102271513,1.947e-07,B1.9,GOES-16,5.557e-08,8.640e-05,1.139e-04,,,,,,,,,1,0,
2021-02-27 17:31:00,2021-02-27 17:22:00,2021-02-27 17:34:00,202102271722,1.549e-07,B1.5,GOES-16,4.692e-08,7.222e-05,7.729e-05,,,,,,,,,1,0,
2021-02-27 18:00:00,2021-02-27 17:51:00,2021-02-27 18:04:00,202102271751,2.789e-06,C2.7,GOES-16,5.591e-08,7.141e-04,8.277e-04,63.0,23.0,HOL,59.58156,19.659002,788.0771,381.9143,GOES-16_XRS,1,0,2804
2021-02-27 21:49:00,2021-02-27 21:42:00,2021-02-27 21:55:00,202102272142,1.066e-07,B1.0,GOES-17,4.902e-08,5.341e-05,7.187e-05,,,,,,,,,1,0,
2021-02-28 00:11:00,2021-02-28 00:04:00,2021-02-28 00:15:00,202102280004,1.445e-07,B1.4,GOES-16,3.910e-08,5.601e-05,6.560e-05,,,,,,,,,1,0,
2021-02-28 06:46:00,2021-02-28 06:40:00,2021-02-28 06:50:00,202102280640,3.954e-06,C3.9,GOES-16,4.338e-08,9.983e-04,1.163e-03,67.0,20.0,SVI,67.28717,18.23276,849.70044,345.6774,GOES-16_XRS,1,0,2804
2021-02-28 18:13:00,2021-02-28 18:01:00,2021-02-28 18:23:00,202102281801,1.086e-07,B1.0,GOES-16,6.909e-08,9.091e-05,1.350e-04,,,,,,,,,1,0,
2021-02-28 20:39:00,2021-02-28 20:32:00,2021-02-28 20:45:00,202102282032,1.083e-07,B1.0,GOES-16,6.297e-08,5.491e-05,7.537e-05,,,,,,,,,1,0,
2021-02-28 21:18:00,2021-02-28 21:10:00,2021-02-28 21:24:00,202102282110,1.134e-07,B1.1,GOES-16,7.121e-08,7.380e-05,9.666e-05,,,,,,,,,1,0,
2021-03-01 00:15:00,2021-03-01 00:11:00,2021-03-01 00:18:00,202103010011,1.100e-07,B1.0,GOES-16,4.776e-08,3.833e-05,4.223e-05,,,,,,,,,1,0,
2021-03-01 00:23:00,2021-03-01 00:19:00,2021-03-01 00:25:00,202103010019,1.179e-07,B1.1,GOES-16,7.161e-08,4.239e-05,4.669e-05,,,,,,,,,1,0,
2021-03-01 01:09:00,2021-03-01 01:00:00,2021-03-01 01:12:00,202103010100,2.079e-07,B2.0,GOES-16,4.865e-08,7.477e-05,7.940e-05,,,,,,,,,1,0,
2021-03-01 02:46:00,2021-03-01 02:37:00,2021-03-01 02:50:00,202103010237,1.793e-07,B1.7,GOES-16,4.230e-08,8.202e-05,9.117e-05,,,,,,,,,1,0,
2021-03-01 05:11:00,2021-03-01 05:01:00,2021-03-01 05:14:00,202103010501,2.020e-07,B2.0,GOES-17,6.204e-08,9.675e-05,1.021e-04,,,,,,,,,1,0,
2021-03-01 06:43:00,2021-03-01 06:37:00,2021-03-01 06:45:00,202103010637,1.983e-07,B1.9,GOES-16,5.676e-08,5.940e-05,6.327e-05,,,,,,,,,1,0,
2021-03-01 08:09:00,2021-03-01 08:02:00,2021-03-01 08:13:00,202103010802,2.234e-07,B2.2,GOES-16,5.480e-08,7.442e-05,8.804e-05,,,,,,,,,1,0,
2021-03-01 13:40:00,2021-03-01 13:07:00,2021-03-01 14:14:00,202103011307,1.502e-07,B1.5,GOES-16,6.930e-08,2.792e-04,5.242e-04,,,,,,,,,1,0,
2021-03-02 16:24:00,2021-03-02 16:19:00,2021-03-02 16:39:00,202103021619,1.139e-07,B1.1,GOES-17,3.135e-08,4.384e-05,1.155e-04,,,,,,,,,1,0,
2021-03-02 18:22:00,2021-03-02 18:18:00,2021-03-02 18:25:00,202103021818,1.317e-07,B1.3,GOES-16,4.742e-08,3.990e-05,4.510e-05,,,,,,,,,1,0,
2021-03-03 00:03:00,2021-03-02 23:53:00,2021-03-03 00:05:00,202103022353,1.280e-06,C1.2,GOES-16,2.615e-08,2.683e-04,2.754e-04,,,,321.87033,-21.234814,-558.9543,-259.2237,GOES-16_XRS,1,0,
2021-03-03 01:01:00,2021-03-03 00:55:00,2021-03-03 01:03:00,202103030055,1.368e-07,B1.3,GOES-16,3.450e-08,4.480e-05,4.883e-05,,,,,,,,,1,0,
2021-03-03 01:34:00,2021-03-03 01:29:00,2021-03-03 01:36:00,202103030129,1.628e-07,B1.6,GOES-16,3.619e-08,4.987e-05,5.447e-05,,,,,,,,,1,0,
2021-03-03 01:53:00,2021-03-03 01:50:00,2021-03-03 01:55:00,202103030150,5.101e-07,B5.1,GOES-16,4.745e-08,1.044e-04,1.148e-04,,,,,,,,,1,0,
2021-03-03 02:23:00,2021-03-03 02:20:00,2021-03-03 02:28:00,202103030220,1.238e-07,B1.2,GOES-17,8.535e-08,4.539e-05,6.289e-05,,,,,,,,,1,0,
2021-03-03 03:02:00,2021-03-03 02:54:00,2021-03-03 03:10:00,202103030254,1.210e-07,B1.2,GOES-16,4.950e-08,6.265e-05,9.844e-05,,,,,,,,,1,0,
2021-03-03 03:43:00,2021-03-03 03:40:00,2021-03-03 03:45:00,202103030340,3.039e-07,B3.0,GOES-16,6.410e-08,6.449e-05,7.125e-05,,,,,,,,,1,0,
2021-03-03 13:18:00,2021-03-03 13:11:00,2021-03-03 13:25:00,202103031311,1.318e-07,B1.3,GOES-17,4.500e-08,5.672e-05,8.553e-05,,,,,,,,,1,0,
2021-03-03 16:51:00,2021-03-03 16:46:00,2021-03-03 16:54:00,202103031646,1.154e-07,B1.1,GOES-17,6.785e-08,5.012e-05,5.491e-05,,,,,,,,,1,0,
2021-03-05 10:10:00,2021-03-05 10:03:00,2021-03-05 10:12:00,202103051003,1.756e-07,B1.7,GOES-16,1.745e-08,5.443e-05,6.113e-05,,,,,,,,,1,0,
2021-03-05 14:33:00,2021-03-05 14:25:00,2021-03-05 14:35:00,202103051425,1.721e-07,B1.7,GOES-16,6.259e-08,6.104e-05,6.564e-05,,,,,,,,,1,0,
2021-03-05 16:22:00,2021-03-05 16:14:00,2021-03-05 16:27:00,202103051614,1.667e-07,B1.6,GOES-16,2.541e-08,6.994e-05,8.664e-05,,,,,,,,,1,0,
2021-03-06 19:33:00,2021-03-06 19:23:00,2021-03-06 19:39:00,202103061923,1.570e-07,B1.5,GOES-16,9.454e-08,1.080e-04,1.384e-04,,,,,,,,,1,0,
