Lag_Window_Hours,Kp_Pearson,Kp_Spearman,Dst_Pearson,Dst_Spearman
6,0.027536614932699727,0.07334129040240885,-0.048236750491740296,-0.008984445046000156
12,0.0286067032188878,0.07841538574486213,-0.050879860036623537,-0.016215194276334718
24,0.04483760719643759,0.09321263611477175,-0.07637612980585101,-0.03626621125183589
48,0.06704326332122036,0.12677983538127816,-0.10100897814721482,-0.08419144482535931
72,0.0910252535777758,0.15653110476776272,-0.12540628216067065,-0.12648813631864003
