,flare_intensity,duration_min,Kp_max_24h,Dst_min_24h,ap_max_24h,Ap_max_24h,TEC_max_24h
flare_intensity,1.0,0.1829269981857208,0.09321263611477174,-0.03626621125183589,0.09321263611477174,0.10549963672248089,0.3429144339064357
duration_min,0.1829269981857208,1.0,0.02236644610743546,-0.003765096895545131,0.02236644610743546,0.01684009391160369,0.026487200900919966
Kp_max_24h,0.09321263611477174,0.02236644610743546,1.0,-0.6328825688900689,1.0,0.8553167248927902,0.4019038518266406
Dst_min_24h,-0.03626621125183589,-0.003765096895545131,-0.6328825688900689,1.0,-0.6328825688900689,-0.6150977420676156,-0.26085226471027334
ap_max_24h,0.09321263611477174,0.02236644610743546,1.0,-0.6328825688900689,1.0,0.8553167248927902,0.4019038518266406
Ap_max_24h,0.10549963672248089,0.01684009391160369,0.8553167248927902,-0.6150977420676156,0.8553167248927902,1.0,0.40100317412977887
TEC_max_24h,0.3429144339064357,0.026487200900919966,0.4019038518266406,-0.26085226471027334,0.4019038518266406,0.40100317412977887,1.0
