,flare_intensity,duration_min,Kp_max_24h,Dst_min_24h,ap_max_24h,Ap_max_24h,TEC_max_24h
flare_intensity,1.0,0.15928287503675698,0.04483760719643741,-0.07637612980585064,0.08283853473959342,0.094498028255815,0.3375831339931574
duration_min,0.15928287503675698,1.0,0.02883865053261622,-0.011491722860661087,0.016815791428217652,0.01890001871064029,0.03430789475113993
Kp_max_24h,0.04483760719643741,0.02883865053261622,1.0,-0.6681558781826964,0.8284544393786868,0.7040705915888748,0.18948052663514964
Dst_min_24h,-0.07637612980585064,-0.011491722860661087,-0.6681558781826964,1.0,-0.8008220450385252,-0.7663702950402876,-0.26822708333000916
ap_max_24h,0.08283853473959342,0.016815791428217652,0.8284544393786868,-0.8008220450385252,1.0,0.8602261901828588,0.279695031835022
Ap_max_24h,0.094498028255815,0.01890001871064029,0.7040705915888748,-0.7663702950402876,0.8602261901828588,1.0,0.3006000666775222
TEC_max_24h,0.3375831339931574,0.03430789475113993,0.18948052663514964,-0.26822708333000916,0.279695031835022,0.3006000666775222,1.0
